Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
tangle-box,Tangle Box,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: TERRY BROOKS</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Del Rey,,Action and Adventure,"",true,Title,Default Title,,,,,,0.0,,6,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0345387007.01.LZZZZZZZ.jpg?v=1699762514,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-new-hugo-winners-vol-2,The New Hugo Winners; Vol. 2,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Isaac Asimov</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Baen,,Cookbooks,"",true,Title,Default Title,,,,,,0.0,,6,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0671721038.01.LZZZZZZZ.gif?v=1699762512,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
gibson-s-student-guide-to-western-canadian-universities,Gibson's Student Guide to Western Canadian Universities,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Dyanne Gibson</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",University of Toronto Press,,True Crime,"",true,Title,Default Title,,,,,,0.0,,9,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0802069347.01.LZZZZZZZ.jpg?v=1699762510,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-power-of-myth-illustrated-edition,The Power of Myth (Illustrated Edition),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Joseph Campbell</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Doubleday Books,,Fantasy,"",true,Title,Default Title,,,,,,0.0,,3,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0385247745.01.LZZZZZZZ.jpg?v=1699762508,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
how-in-the-world-a-fascinating-journey-through-the-world-of-human-ingenuity,How in the World?: A Fascinating Journey Through the World of Human Ingenuity,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Readers Digest</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Readers Digest,,History,"",true,Title,Default Title,,,,,,0.0,,9,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0895773538.01.LZZZZZZZ.jpg?v=1699762506,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
museum-of-science-book-of-answers-amp-questions,Museum of Science Book of Answers &amp; Questions,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Ann Rae Jonas</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Adams Media Corp,,Poetry,"",true,Title,Default Title,,,,,,0.0,,18,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/1558506454.01.LZZZZZZZ.jpg?v=1699762504,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
shopgirl,Shopgirl,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Steve Martin</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Hyperion,,Classics,"",true,Title,Default Title,,,,,,0.0,,12,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0786885688.01.LZZZZZZZ.jpg?v=1699762502,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-clearing-a-mystery,The Clearing: A Mystery,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Dorothy Reynolds Miller</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Yearling Books,,Self-Help,"",true,Title,Default Title,,,,,,0.0,,1,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0440414520.01.LZZZZZZZ.jpg?v=1699762500,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
french-lieutenant-s-woman,French Lieutenant's Woman,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: John Fowles</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Signet Book,,Suspense and Thrillers,"",true,Title,Default Title,,,,,,0.0,,2,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0451163753.01.LZZZZZZZ.jpg?v=1699762498,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-no-1-ladies-detective-agency-today-show-book-club-8,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Alexander McCall Smith</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Anchor,,Cookbooks,"",true,Title,Default Title,,,,,,0.0,,10,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/1400034779.01.LZZZZZZZ.jpg?v=1699762496,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
true-notebooks-alex-awards-awards,True Notebooks (Alex Awards (Awards)),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: MARK SALZMAN</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Knopf,,Literary Fiction,"",true,Title,Default Title,,,,,,0.0,,1,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0375413081.01.LZZZZZZZ.jpg?v=1699762494,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
only-the-wind-remembers,Only the Wind Remembers,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Marlo Schalesky</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Moody Publishers,,Action and Adventure,"",true,Title,Default Title,,,,,,0.0,,19,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0802433243.01.LZZZZZZZ.jpg?v=1699762492,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
only-the-river-runs-free-a-novel-galway-chronicles-paperback,Only The River Runs Free : A Novel (Galway Chronicles (Paperback)),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Bodie Thoene</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",WestBow Press,,Romance,"",true,Title,Default Title,,,,,,0.0,,2,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0785263780.01.LZZZZZZZ.jpg?v=1699762490,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
no-eye-can-see-kirkpatrick-jane-kinship-and-courage-historical-series-bk-2,No Eye Can See (Kirkpatrick; Jane; Kinship and Courage Historical Series; Bk. 2.),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: JANE KIRKPATRICK</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",WaterBrook Press,,Literary Fiction,"",true,Title,Default Title,,,,,,0.0,,9,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/1578562333.01.LZZZZZZZ.jpg?v=1699762488,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
how-not-to-be-a-perfect-mother-the-crafty-mother-s-guide-to-a-quiet-life-how-not-to,How Not to Be a Perfect Mother: The Crafty Mother's Guide to a Quiet Life (How Not to),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Libby Purves</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",HarperCollins Publishers,,Poetry,"",true,Title,Default Title,,,,,,0.0,,17,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/000636988X.01.LZZZZZZZ.jpg?v=1699762486,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
nightchild-gollancz-sf-s,Nightchild (Gollancz SF S.),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: James Barclay</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Gollancz,,Romance,"",true,Title,Default Title,,,,,,0.0,,11,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0575073004.01.LZZZZZZZ.jpg?v=1699762484,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
shadowheart-legends-of-the-raven-legends-of-the-raven,Shadowheart : Legends of the Raven (Legends of the Raven),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: James Barclay</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Gollancz,,Memoir,"",true,Title,Default Title,,,,,,0.0,,2,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0575073314.01.LZZZZZZZ.jpg?v=1699762482,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
popular-reward-the-brave-toy-soldier-and-other-stories-enid-blyton-s-popular-rewards-series-vii,Popular Reward: the Brave Toy Soldier: And Other Stories (Enid Blyton's Popular Rewards Series VII),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Enid Blyton</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Award Publications,,Suspense and Thrillers,"",true,Title,Default Title,,,,,,0.0,,19,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0861638522.01.LZZZZZZZ.jpg?v=1699762480,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
an-abc-for-you-and-me,An ABC for You and Me,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Margaret Tempest</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",The Medici Society Ltd,,Classics,"",true,Title,Default Title,,,,,,0.0,,1,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0855030224.01.LZZZZZZZ.jpg?v=1699762478,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
winnie-the-pooh-on-management-and-problem-solving,Winnie-The-Pooh on Management and Problem Solving,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Roger E. Allen</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Routledge,,Short Stories,"",true,Title,Default Title,,,,,,0.0,,5,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/041619513X.01.LZZZZZZZ.jpg?v=1699762476,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
away-from-it-all,Away from It All,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Judy Astley</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Trafalgar Square,,Short Stories,"",true,Title,Default Title,,,,,,0.0,,20,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0552999512.01.LZZZZZZZ.jpg?v=1699762474,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-grapes-of-wrath-john-steinbeck-centennial-edition-1902-2002,The Grapes of Wrath: John Steinbeck Centennial Edition (1902-2002),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: John Steinbeck</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Penguin Books,,Comic Book or Graphic Novel,"",true,Title,Default Title,,,,,,0.0,,11,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0142000663.01.LZZZZZZZ.jpg?v=1699762473,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
dinosaur-planet-2-survivors,DINOSAUR PLANET 2 SURVIVORS,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: ANNE MCCAFFREY</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Time Warner Books UK,,Biographies and Autobiographies,"",true,Title,Default Title,,,,,,0.0,,7,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0708881297.01.LZZZZZZZ.gif?v=1699762470,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
notes-from-a-small-planet,Notes From a Small Planet,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Bill Bryson</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Bantam Doubleday Dell,,Fantasy,"",true,Title,Default Title,,,,,,0.0,,12,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0552996009.01.LZZZZZZZ.jpg?v=1699762469,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
wild-magic-fool-s-gold-book-2,Wild Magic (Fool's Gold; Book 2),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Jude Fisher</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Daw Books,,Short Stories,"",true,Title,Default Title,,,,,,0.0,,8,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0756401453.01.LZZZZZZZ.jpg?v=1699762466,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
a-lesson-before-dying-vintage-contemporaries-paperback,A Lesson Before Dying (Vintage Contemporaries (Paperback)),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Ernest J. Gaines</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Vintage Books USA,,Self-Help,"",true,Title,Default Title,,,,,,0.0,,2,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0375702709.01.LZZZZZZZ.jpg?v=1699762464,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-poisonwood-bible-a-novel,The Poisonwood Bible: A Novel,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Barbara Kingsolver</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Perennial,,Suspense and Thrillers,"",true,Title,Default Title,,,,,,0.0,,2,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0060930535.01.LZZZZZZZ.jpg?v=1699762462,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-best-of-larry-king-live-the-greatest-interviews,The Best of Larry King Live: The Greatest Interviews,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Larry King</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Turner Pub,,Women's Fiction,"",true,Title,Default Title,,,,,,0.0,,8,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/1570362084.01.LZZZZZZZ.gif?v=1699762460,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
unassigned-territory,Unassigned Territory,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Kem Nunn</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Bantam Dell Pub Group,,Historical Fiction,"",true,Title,Default Title,,,,,,0.0,,1,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0440500095.01.LZZZZZZZ.gif?v=1699762459,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
starlings-laughing-a-memoir-of-africa,Starlings Laughing: A Memoir of Africa,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: June Vendall Clark</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Harpercollins,,Action and Adventure,"",true,Title,Default Title,,,,,,0.0,,9,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0688105408.01.LZZZZZZZ.gif?v=1699762457,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
my-father-his-son,My Father; His Son,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Reidar Jonsson</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Little Brown &amp; Co,,True Crime,"",true,Title,Default Title,,,,,,0.0,,10,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/155970117X.01.LZZZZZZZ.gif?v=1699762455,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
men-and-brethren,Men and Brethren,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: James Gould Cozzens</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Elephant Paperbacks,,History,"",true,Title,Default Title,,,,,,0.0,,11,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0929587081.01.LZZZZZZZ.jpg?v=1699762453,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
isle-of-lies,Isle of Lies,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Donna Fletcher</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Jove Books,,Classics,"",true,Title,Default Title,,,,,,0.0,,14,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0515132632.01.LZZZZZZZ.jpg?v=1699762451,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
das-halsband-der-taube,Das Halsband der Taube.,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Ernst W. Heine</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",btb,,Poetry,"",true,Title,Default Title,,,,,,0.0,,15,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/3442720001.01.LZZZZZZZ.jpg?v=1699762449,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
knockin-at-heaven-s-door,Knockin' at Heaven's Door,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Stephen Hill</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Regal Books,,Comic Book or Graphic Novel,"",true,Title,Default Title,,,,,,0.0,,6,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0830724982.01.LZZZZZZZ.gif?v=1699762448,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
pearl-in-the-mist-landry,Pearl in the Mist (Landry),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: V.C. Andrews</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Pocket,,Classics,"",true,Title,Default Title,,,,,,0.0,,15,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0671759361.01.LZZZZZZZ.jpg?v=1699762446,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
il-dio-delle-piccole-cose,Il Dio Delle Piccole Cose,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Arundhati Roy</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Distribooks Inc,,Short Stories,"",true,Title,Default Title,,,,,,0.0,,14,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/8850200005.01.LZZZZZZZ.jpg?v=1699762444,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
good-omens,Good Omens,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Neil Gaiman</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Ace Books,,Biographies and Autobiographies,"",true,Title,Default Title,,,,,,0.0,,19,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0441003257.01.LZZZZZZZ.jpg?v=1699762442,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-education-of-little-tree-a-zia-book,The Education of Little Tree (A Zia Book),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Forrest Carter</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",University of New Mexico Press,,Memoir,"",true,Title,Default Title,,,,,,0.0,,15,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0826308791.01.LZZZZZZZ.jpg?v=1699762440,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
hunting-badger,Hunting Badger,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Tony Hillerman</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",HarperCollins Publishers,,Fantasy,"",true,Title,Default Title,,,,,,0.0,,3,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0060192895.01.LZZZZZZZ.jpg?v=1699762438,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
having-everything,Having Everything,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: John L'Heureux</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Pub Group West,,Poetry,"",true,Title,Default Title,,,,,,0.0,,19,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0871137631.01.LZZZZZZZ.jpg?v=1699762436,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
no-one-thinks-of-greenland,No One Thinks of Greenland,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: John Griesemer</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Picador USA,,History,"",true,Title,Default Title,,,,,,0.0,,7,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0312274572.01.LZZZZZZZ.jpg?v=1699762434,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-museum-guard,The Museum Guard,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Howard Norman</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Farrar Straus Giroux,,Essays,"",true,Title,Default Title,,,,,,0.0,,7,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0374216495.01.LZZZZZZZ.jpg?v=1699762432,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-distance-between,The Distance Between,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Eliza Osborne</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Soho Press,,Horror,"",true,Title,Default Title,,,,,,0.0,,1,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/1569471800.01.LZZZZZZZ.jpg?v=1699762430,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
in-search-of-america,In Search of America,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Tod Brewster</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Hyperion,,Women's Fiction,"",true,Title,Default Title,,,,,,0.0,,12,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0786867086.01.LZZZZZZZ.jpg?v=1699762428,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
eve-s-rib,Eve's Rib,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Bryn Chandler</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Random House Inc,,Literary Fiction,"",true,Title,Default Title,,,,,,0.0,,19,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0517006456.01.LZZZZZZZ.gif?v=1699762426,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
divining-women-ay-spoken-word-gibbons,Divining Women (Ay Spoken Word - Gibbons),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Kaye Gibbons</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Audioworks,,History,"",true,Title,Default Title,,,,,,0.0,,17,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0671573020.01.LZZZZZZZ.jpg?v=1699762424,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
winter-wedding,Winter Wedding,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Joan Smith</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Fawcett Books,,Action and Adventure,"",true,Title,Default Title,,,,,,0.0,,3,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0449217868.01.LZZZZZZZ.gif?v=1699762422,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
my-grandfathers-blessings-stories-of-strength-refuge-and-belonging,My Grandfathers Blessings : Stories of Strength; Refuge; and Belonging,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Rachel Naomi Remen M.D.</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Riverhead Books,,History,"",true,Title,Default Title,,,,,,0.0,,12,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/1573228567.01.LZZZZZZZ.jpg?v=1699762420,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
strange-memories-the-nancy-drew-files-122-nancy-drew-files-paperback,Strange Memories The Nancy Drew Files 122 (Nancy Drew Files (Paperback)),"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Carolyn Keene</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Simon Pulse,,Essays,"",true,Title,Default Title,,,,,,0.0,,5,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0671568809.01.LZZZZZZZ.jpg?v=1699762418,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
sons-of-texas-callaway-country,Sons of Texas : Callaway Country,"<p data-mce-fragment=""1"">
  <b data-mce-fragment=""1"">Author: Annette Broadrick</b>
  <br>
  <b data-mce-fragment=""1"">Hello world</b>
</p>",Silhouette,,History,"",true,Title,Default Title,,,,,,0.0,,15,deny,manual,99.00,119.00,true,true,,https://cdn.shopify.com/s/files/1/0674/4542/4346/products/0373484070.01.LZZZZZZZ.jpg?v=1699762417,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
